Size	Selection Sort	Insertion Sort
100	0.000016	0.000007
200	0.000055	0.000028
300	0.000117	0.000058
400	0.000201	0.000109
500	0.000305	0.000161
600	0.000443	0.000225
700	0.000582	0.000303
800	0.000790	0.000408
900	0.000977	0.000558
1000	0.001200	0.000632
1100	0.001450	0.000756
1200	0.001710	0.000907
1300	0.002001	0.001061
1400	0.002347	0.001273
1500	0.002761	0.001462
1600	0.003105	0.001671
1700	0.003399	0.001849
1800	0.003877	0.002078
1900	0.004361	0.002377
2000	0.004883	0.002549
2100	0.005198	0.002802
2200	0.005684	0.003053
2300	0.006193	0.003621
2400	0.006727	0.003573
2500	0.007360	0.004268
2600	0.007874	0.004272
2700	0.008548	0.004589
2800	0.009127	0.004901
2900	0.009890	0.005324
3000	0.010532	0.005745
3100	0.014014	0.007255
3200	0.015013	0.009331
3300	0.016246	0.006991
3400	0.015002	0.008879
3500	0.018136	0.010305
3600	0.019159	0.008005
3700	0.022442	0.011247
3800	0.023477	0.014594
3900	0.027815	0.017406
4000	0.030247	0.013911
4100	0.030213	0.015287
4200	0.024702	0.013520
4300	0.031431	0.016515
4400	0.029664	0.013520
4500	0.028674	0.014168
4600	0.029678	0.015823
4700	0.038191	0.042769
4800	0.033235	0.017595
4900	0.031878	0.017168
5000	0.033574	0.019506
5100	0.070997	0.018851
5200	0.036481	0.018395
5300	0.032111	0.020671
5400	0.035151	0.019797
5500	0.037449	0.020583
5600	0.038080	0.020885
5700	0.039118	0.022479
5800	0.041139	0.022554
5900	0.042497	0.023033
6000	0.042795	0.024296
6100	0.045423	0.025028
6200	0.046748	0.023470
6300	0.048439	0.036464
6400	0.056378	0.031767
6500	0.050912	0.030096
6600	0.053067	0.027931
6700	0.052429	0.027539
6800	0.050759	0.027351
6900	0.052105	0.028090
7000	0.054392	0.031487
7100	0.061024	0.032067
7200	0.059769	0.032141
7300	0.060877	0.033597
7400	0.066962	0.037449
7500	0.072152	0.039473
7600	0.072857	0.036909
7700	0.069757	0.038866
7800	0.076747	0.038129
7900	0.071497	0.042575
8000	0.079366	0.037751
8100	0.072213	0.039890
8200	0.073461	0.040685
8300	0.077111	0.041792
8400	0.076634	0.041688
8500	0.085555	0.048402
8600	0.103918	0.131874
8700	0.150761	0.065980
8800	0.112052	0.061037
8900	0.103932	0.049891
9000	0.092630	0.053234
9100	0.093395	0.050591
9200	0.090579	0.051501
9300	0.095748	0.050825
9400	0.094904	0.051847
9500	0.096730	0.053496
9600	0.097827	0.056259
9700	0.138458	0.091729
9800	0.182201	0.156978
9900	0.240890	0.129834
10000	0.258653	0.109862
10100	0.199302	0.086732
10200	0.143306	0.072324
10300	0.130027	0.077721
10400	0.161835	0.089331
10500	0.175405	0.083345
10600	0.145573	0.074777
10700	0.133085	0.070194
10800	0.132864	0.071471
10900	0.131781	0.070090
11000	0.131365	0.078045
11100	0.162458	0.087307
11200	0.201828	0.105171
11300	0.191102	0.100650
11400	0.184756	0.101004
11500	0.198690	0.099065
11600	0.182258	0.092184
11700	0.164390	0.084603
11800	0.154083	0.082265
11900	0.154601	0.085856
12000	0.156714	0.085457
12100	0.158216	0.086448
12200	0.163168	0.089372
12300	0.169763	0.099403
12400	0.264178	0.126285
12500	0.214915	0.109959
12600	0.188858	0.103407
12700	0.186996	0.101101
12800	0.180926	0.100478
12900	0.180571	0.097714
13000	0.181128	0.100496
13100	0.192785	0.108842
13200	0.207850	0.116604
13300	0.195422	0.105957
13400	0.201653	0.111877
13500	0.205835	0.113384
13600	0.208001	0.114066
13700	0.213554	0.118353
13800	0.210107	0.119068
13900	0.219633	0.122666
14000	0.284467	0.152815
14100	0.246361	0.132583
14200	0.237605	0.122351
14300	0.238983	0.125428
14400	0.238934	0.132164
14500	0.249732	0.140474
14600	0.254650	0.139922
14700	0.253279	0.131383
14800	0.242412	0.124805
14900	0.241403	0.131237
15000	0.248597	0.146527
15100	0.282533	0.213700
15200	0.372370	0.209339
15300	0.342757	0.152205
15400	0.270506	0.160890
15500	0.290511	0.150943
15600	0.286782	0.164964
15700	0.288807	0.152795
15800	0.278155	0.162109
15900	0.293003	0.169731
16000	0.299320	0.156064
16100	0.290209	0.159830
16200	0.315136	0.168243
16300	0.337353	0.215963
16400	0.337442	0.169612
16500	0.312329	0.176216
16600	0.336018	0.184994
16700	0.322231	0.188843
16800	0.417486	0.228142
16900	0.396574	0.208957
17000	0.438175	0.189046
17100	0.324374	0.190286
17200	0.397635	0.246056
17300	0.541416	0.294783
17400	0.390189	0.194077
17500	0.360676	0.200894
17600	0.386272	0.203125
17700	0.364984	0.188506
17800	0.346643	0.204534
17900	0.354823	0.185427
18000	0.358766	0.212939
18100	0.407005	0.197634
18200	0.360572	0.191715
18300	0.356543	0.194378
18400	0.363116	0.196543
18500	0.365949	0.199275
18600	0.374001	0.200992
18700	0.385718	0.212006
18800	0.390690	0.214730
18900	0.418439	0.241451
19000	0.422156	0.236859
19100	0.431067	0.236609
19200	0.434526	0.224269
19300	0.420874	0.211942
19400	0.416463	0.229478
19500	0.422125	0.231537
19600	0.425808	0.243992
19700	0.442819	0.240750
19800	0.457264	0.239447
19900	0.458173	0.243562
20000	0.422876	0.236278
20100	0.428817	0.238837
20200	0.452810	0.240413
20300	0.441945	0.251160
20400	0.490069	0.263176
20500	0.465281	0.255953
20600	0.445659	0.246934
20700	0.478561	0.248896
20800	0.463031	0.262449
20900	0.498420	0.283849
21000	0.502349	0.267792
21100	0.497156	0.263046
21200	0.488649	0.278373
21300	0.535349	0.293670
21400	0.536463	0.274548
21500	0.494514	0.272265
21600	0.499536	0.274342
21700	0.535872	0.283522
21800	0.539466	0.308518
21900	0.565563	0.310811
22000	0.522853	0.285665
22100	0.523463	0.288074
22200	0.525853	0.284391
22300	0.554179	0.307064
22400	0.559887	0.305198
22500	0.588153	0.294034
22600	0.543014	0.300597
22700	0.563497	0.299965
22800	0.551400	0.301142
22900	0.607236	0.309964
23000	0.583098	0.324382
23100	0.585252	0.326287
23200	0.634435	0.350220
23300	0.603509	0.330217
23400	0.627433	0.345361
23500	0.595829	0.326708
23600	0.600122	0.329291
23700	0.608439	0.327230
23800	0.646090	0.357336
23900	0.604785	0.371383
24000	0.629278	0.351662
24100	0.623907	0.341986
24200	0.644123	0.384097
24300	0.697088	0.432076
24400	0.713244	0.443758
24500	0.672291	0.354864
24600	0.654206	0.357810
24700	0.674897	0.372889
24800	0.662116	0.363437
24900	0.722631	0.394030
25000	0.688812	0.367185
25100	0.683267	0.369600
25200	0.683325	0.376153
25300	0.692488	0.379283
25400	0.798578	0.385552
25500	0.718522	0.424294
25600	0.776823	0.458014
25700	0.903430	0.419780
25800	0.845183	0.403075
25900	0.795987	0.412527
26000	0.754247	0.398638
26100	0.731921	0.405760
26200	0.818136	0.439930
26300	0.760746	0.410377
26400	0.753007	0.407477
26500	0.753875	0.416764
26600	0.769006	0.489843
26700	0.802633	0.441165
26800	0.792423	0.423572
26900	0.775655	0.478246
27000	0.852915	0.515217
27100	0.869408	0.482964
27200	0.875395	0.483959
27300	0.844970	0.441671
27400	0.848181	0.442749
27500	0.811222	0.449599
27600	0.828781	0.454970
27700	0.826568	0.454962
27800	0.883653	0.491888
27900	0.834658	0.459284
28000	0.845972	0.471027
28100	0.853712	0.486994
28200	0.892625	0.470790
28300	0.890385	0.498941
28400	0.948704	0.483247
28500	0.888317	0.504507
28600	0.886946	0.502400
28700	0.898449	0.488403
28800	0.918745	0.488272
28900	0.957064	0.496896
29000	0.908439	0.499981
29100	0.966193	0.554037
29200	0.978675	0.541431
29300	1.007372	0.501446
29400	0.933065	0.514568
29500	0.943249	0.545415
29600	0.970671	0.527883
29700	0.963034	0.535386
29800	0.969266	0.528472
29900	1.007850	0.540507
30000	0.994100	0.534008
30100	0.973357	0.540110
30200	1.034991	0.559571
30300	0.983479	0.542769
30400	0.993749	0.553190
30500	1.002741	0.604297
30600	1.028313	0.562429
30700	1.024464	0.593201
30800	1.016540	0.595583
30900	1.051711	0.564605
31000	1.033314	0.568929
31100	1.039501	0.624700
31200	1.073370	0.575822
31300	1.058698	0.621765
31400	1.055806	0.595800
31500	1.109686	0.581276
31600	1.173936	0.619046
31700	1.108770	0.632022
31800	1.139313	0.653304
31900	1.173598	0.637632
32000	1.220055	0.651121
