Size	Merge Sort	Quick Sort
100	0.000014	0.000009
200	0.000024	0.000021
300	0.000041	0.000042
400	0.000055	0.000043
500	0.000081	0.000631
600	0.000181	0.000216
700	0.000251	0.001178
800	0.000179	0.000160
900	0.000318	0.000197
1000	0.000251	0.000152
1100	0.000320	0.001380
1200	0.000275	0.001065
1300	0.000312	0.000868
1400	0.000338	0.000220
1500	0.000351	0.000244
1600	0.000387	0.000274
1700	0.000418	0.000287
1800	0.000437	0.000900
1900	0.000467	0.000909
2000	0.000491	0.000900
2100	0.000523	0.000349
2200	0.000549	0.000371
2300	0.000696	0.000715
2400	0.000889	0.001517
2500	0.000482	0.000383
2600	0.000513	0.000595
2700	0.000511	0.000368
2800	0.000503	0.000390
2900	0.000521	0.000943
3000	0.000545	0.000963
3100	0.000558	0.000966
3200	0.000597	0.000985
3300	0.000606	0.001053
3400	0.000619	0.001023
3500	0.002323	0.000638
3600	0.000802	0.001153
3700	0.000686	0.000528
3800	0.000742	0.001088
3900	0.000727	0.000555
4000	0.000740	0.000575
4100	0.000760	0.001101
4200	0.000760	0.001086
4300	0.000778	0.000606
4400	0.000834	0.001001
4500	0.001827	0.001527
4600	0.000861	0.000671
4700	0.000861	0.001192
4800	0.000879	0.000679
4900	0.000895	0.001210
5000	0.000914	0.001217
5100	0.000927	0.001282
5200	0.001213	0.001199
5300	0.001310	0.001006
5400	0.001079	0.000802
5500	0.001021	0.000781
5600	0.001037	0.001341
5700	0.001067	0.001334
5800	0.001086	0.000851
5900	0.001174	0.001688
6000	0.001317	0.000974
6100	0.001195	0.001444
6200	0.001155	0.000896
6300	0.001195	0.000991
6400	0.001208	0.001453
6500	0.001230	0.001048
6600	0.001384	0.001919
6700	0.001955	0.001212
6800	0.001409	0.001033
6900	0.001313	0.001533
7000	0.001325	0.001210
7100	0.001855	0.001038
7200	0.002932	0.001249
7300	0.001481	0.001113
7400	0.001408	0.001083
7500	0.001429	0.001634
7600	0.001482	0.001643
7700	0.001480	0.003107
7800	0.001599	0.001161
7900	0.001546	0.001678
8000	0.001563	0.001711
8100	0.001548	0.001269
8200	0.001920	0.001697
8300	0.001786	0.001819
8400	0.001634	0.001270
8500	0.002279	0.002140
8600	0.002430	0.001755
8700	0.002205	0.001438
8800	0.001737	0.001902
8900	0.001742	0.001857
9000	0.001762	0.001873
9100	0.002616	0.001660
9200	0.001880	0.001450
9300	0.002034	0.001425
9400	0.001943	0.001942
9500	0.001867	0.002897
9600	0.002095	0.001600
9700	0.001917	0.002033
9800	0.001922	0.001996
9900	0.001998	0.003222
10000	0.002443	0.002013
10100	0.001918	0.001507
10200	0.001926	0.001995
10300	0.002248	0.003111
10400	0.002303	0.002286
10500	0.001991	0.002274
10600	0.002012	0.002376
10700	0.003775	0.001741
10800	0.002061	0.001632
10900	0.002069	0.002335
11000	0.002148	0.003363
11100	0.002415	0.001667
11200	0.002148	0.002382
11300	0.002198	0.002455
11400	0.003501	0.001880
11500	0.002208	0.002426
11600	0.002232	0.001744
11700	0.002288	0.003482
11800	0.002672	0.002502
11900	0.002324	0.001805
12000	0.002349	0.003305
12100	0.003949	0.002908
12200	0.002981	0.002857
12300	0.005721	0.002411
12400	0.002473	0.001885
12500	0.002701	0.002385
12600	0.003574	0.002529
12700	0.002969	0.002378
12800	0.003567	0.004050
12900	0.004078	0.003405
13000	0.002714	0.002822
13100	0.004162	0.003050
13200	0.003927	0.002560
13300	0.003844	0.003856
13400	0.003324	0.002867
13500	0.002747	0.002105
13600	0.004494	0.003611
13700	0.003504	0.003378
13800	0.003359	0.003519
13900	0.003613	0.003012
14000	0.002851	0.002644
14100	0.005885	0.002766
14200	0.003366	0.002269
14300	0.003143	0.003770
14400	0.004452	0.002815
14500	0.004040	0.004180
14600	0.004384	0.002875
14700	0.004333	0.003737
14800	0.004509	0.003094
14900	0.004365	0.004211
15000	0.004712	0.002901
15100	0.004430	0.005437
15200	0.003954	0.003218
15300	0.004669	0.003842
15400	0.005165	0.003232
15500	0.004417	0.003561
15600	0.005136	0.004011
15700	0.004849	0.006090
15800	0.004300	0.003922
15900	0.004721	0.003433
16000	0.003552	0.003496
16100	0.003435	0.004270
16200	0.003875	0.002710
16300	0.003656	0.003411
16400	0.006224	0.003303
16500	0.004144	0.005037
16600	0.005537	0.004738
16700	0.005643	0.004383
16800	0.004084	0.002891
16900	0.005838	0.005213
17000	0.003828	0.006293
17100	0.006614	0.004102
