Enter the number of activities: Activities generated:
SrNo.	Start	End	Completion
1	67	82	15
2	69	128	59
3	34	96	62
4	37	56	19
5	52	147	95
6	34	99	65
7	7	42	35
8	11	22	11
9	60	136	76
10	88	144	56
11	2	102	100
12	19	21	2
13	92	103	11
14	98	166	68
15	99	143	44
16	74	120	46
17	8	78	70
18	59	146	87
19	38	63	25
20	51	94	43
21	18	26	8
22	41	86	45
23	64	120	56
24	34	49	15
25	5	28	23
26	69	162	93
27	25	63	38
28	70	76	6
29	99	122	23
30	4	17	13
31	3	97	94
32	72	128	56
33	0	18	18
34	45	67	22
35	73	169	96
36	53	99	46
37	77	172	95
38	4	10	6
39	97	158	61
40	8	81	73
41	45	119	74
42	68	152	84
43	68	137	69
44	94	185	91
45	91	170	79
46	26	93	67
47	92	172	80
48	28	127	99
49	74	128	54
50	93	177	84
51	73	114	41
52	80	97	17
53	48	68	20
54	28	83	55
55	73	115	42
56	16	76	60
57	15	96	81
58	51	70	19
59	90	127	37
60	45	84	39
61	7	19	12
62	54	81	27
63	80	101	21
64	69	165	96
65	2	89	87
66	72	137	65
67	91	142	51
68	78	146	68
69	59	83	24
70	17	23	6
71	50	67	17
72	53	90	37
73	24	68	44
74	53	72	19
75	75	122	47
76	1	20	19
77	32	100	68
78	43	93	50
79	0	1	1
80	69	153	84
81	66	133	67
82	15	103	88
83	74	120	46
84	81	108	27
85	47	137	90
86	12	17	5
87	40	108	68
88	5	89	84
89	24	60	36
90	6	21	15
91	0	34	34
92	48	70	22
93	54	124	70
94	77	116	39
95	15	115	100
96	51	103	52
97	83	111	28
98	20	70	50
99	92	167	75
100	35	81	46

Selected activities (Greedy):
SrNo.	Start	End	Completion
1	0	1	1
2	4	10	6
4	12	17	5
8	19	21	2
16	34	49	15
22	50	67	17
29	70	76	6
49	80	97	17
69	99	122	23

Time taken by greedy approach: 0.001000 seconds

Selected activities (Dynamic Programming):
SrNo.	Start	End	Completion
69	99	122	23
49	80	97	17
29	70	76	6
22	50	67	17
16	34	49	15
8	19	21	2
4	12	17	5
2	4	10	6
1	0	1	1

Time taken by dynamic programming: 0.004000 seconds
